USHCN_ID,LAT,LONG,ELEV,,
62658,41.95,-73.37,550,,
63207,41.35,-72.05,40,,
67970,41.13,-73.55,190,,
68138,41.8,-72.25,650,,
170100,44.35,-68.27,470,,
170814,45.66,-69.81,1070,,
171628,44.92,-69.24,300,,
172426,44.92,-67,85,,
172765,44.68,-70.15,420,,
173046,44.22,-69.78,140,,
173944,46.2,-67.83,390,,
174566,44.1,-70.22,180,,
175304,45.65,-68.7,360,,
176905,43.65,-70.3,45,,
176937,46.65,-68,599,,
179891,45.15,-67.4,140,,
190120,42.38,-72.53,150,,
190535,42.48,-71.28,160,,
190736,42.22,-71.12,630,,
193213,42.18,-73.4,730,,
194105,42.7,-71.17,60,,
195246,41.63,-70.93,70,,
196486,41.98,-70.7,45,,
196681,42.05,-70.18,20,,
196783,42.52,-71.12,110,,
198367,41.9,-71.07,20,,
198757,42.16,-71.25,170,,
199316,42.13,-71.43,64,,
270706,44.18,-71.39,1181,,
272174,43.15,-70.95,80,,
272999,45.08,-71.28,1660,,
273850,43.7,-72.28,603,,
274399,42.95,-72.32,510,,
280325,39.38,-74.43,10,,
280734,40.83,-75.08,263,,
280907,40.9,-74.4,280,,
281582,41.03,-74.43,760,,
283029,40.57,-74.88,260,,
283951,40.27,-74.57,100,,
284229,39.8,-74.78,100,,
284987,40.27,-74,30,,
285728,39.97,-74.97,45,,
286055,40.47,-74.43,86,,
287079,40.6,-74.4,90,,
288816,39.95,-74.22,31,,
300023,42.1,-77.23,1000,,
300042,42.75,-73.8,275,,
300085,42.25,-77.78,1770,,
300093,42.1,-78.75,1500,,
300183,42.3,-78.02,1425,,
300321,42.92,-76.53,770,,
300443,42.98,-78.18,890,,
300687,42.22,-75.98,1600,,
300889,40.95,-72.3,60,,
300937,43.2,-77.93,535,,
301012,42.93,-78.73,705,,
301185,44.57,-75.12,440,,
301401,44.88,-73.43,170,,
301752,42.7,-74.92,1200,,
301799,42.6,-76.18,1129,,
301966,44.72,-73.72,1340,,
301974,42.57,-77.72,660,,
302060,42.3,-75.25,1000,,
302129,41.01,-73.83,61,,
302610,42.1,-76.8,844,,
303033,42.45,-79.3,760,,
303184,42.88,-77.03,718,,
303259,41.52,-73.93,275,,
303319,43.05,-74.35,812,,
303773,42.78,-77.62,902,,
304102,43.75,-74.28,1660,,
304174,42.45,-76.45,960,,
304555,44.25,-73.98,1940,,
304647,44.75,-74.65,500,,
304791,43.07,-74.87,900,,
304796,43.03,-74.87,360,,
304844,43.18,-78.65,520,,
304912,43.8,-75.48,860,,
304996,44.84,-74.31,880,,
305113,42.52,-74.97,1192,,
305426,41.77,-74.15,1245,,
305512,42.83,-75.7,1400,,
305801,40.78,-73.97,130,,
306085,42.53,-75.53,1020,,
306164,44.73,-75.43,280,,
306314,43.47,-76.5,350,,
306774,41.38,-74.68,470,,
306820,41.63,-73.92,170,,
307167,43.13,-77.67,600,,
307484,43.03,-73.82,310,,
307633,40.97,-73.1,40,,
308248,43.88,-75.03,1690,,
308383,43.12,-76.12,420,,
308600,42.75,-73.68,24,,
308631,44.23,-74.43,1680,,
308737,43.15,-75.38,217,,
308906,41.55,-74.17,380,,
308910,42.75,-78.52,1090,,
308944,44.15,-74.9,1510,,
309000,43.97,-75.87,497,,
309292,41.38,-73.97,320,,
309670,41.27,-73.8,670,,
360106,40.65,-75.43,387,,
361354,39.93,-77.63,640,,
362537,39.8,-77.27,520,,
362682,42.08,-80.18,732,,
363028,41.38,-79.82,990,,
363526,41.42,-80.37,1130,,
364385,40.33,-78.92,1214,,
364896,40.33,-76.47,450,,
365915,41.83,-75.87,1560,,
366233,41.02,-80.37,825,,
366689,40.8,-75.62,410,,
367029,41.74,-75.45,1800,,
367322,40.42,-75.93,360,,
367477,41.42,-78.75,1360,,
367931,40.77,-76.87,420,,
368449,40.8,-77.87,1170,,
368596,41,-75.18,480,,
368905,41.75,-76.42,750,,
369050,39.92,-79.72,956,,
369298,41.85,-79.15,1210,,
369408,41.7,-77.27,1860,,
369464,39.97,-75.63,450,,
369728,41.25,-76.92,527,,
369933,39.92,-76.75,390,,
370896,41.17,-71.58,110,,
374266,41.48,-71.53,100,,
376698,41.73,-71.43,51,,
431081,44.47,-73.15,332,,
431243,43.38,-72.6,800,,
431360,43.98,-72.45,800,,
431580,43.95,-73.22,490,,
432769,44.92,-72.82,420,,
437054,44.42,-72.02,699,,
437607,44.62,-73.3,110,,
437612,44.07,-72.97,1341,,
